Inference for Stan model: jhb_ordinal_hurdle_model_model
2 chains: each with iter=(5000,5000); warmup=(0,0); thin=(1,1); 10000 iterations saved.

Warmup took (51891, 52317) seconds, 29 hours total
Sampling took (207010, 208747) seconds, 115 hours total

                    Mean     MCSE   StdDev        5%       50%       95%    N_Eff  N_Eff/s    R_hat
L_g[6,2]        -2.0e-02  2.2e-03  2.9e-01  -5.0e-01  -2.6e-02   4.7e-01  1.8e+04  4.2e-02  1.0e+00
L_g[6,3]         4.5e-02  2.4e-03  2.8e-01  -4.3e-01   4.8e-02   5.1e-01  1.4e+04  3.4e-02  1.0e+00
L_g[6,4]         9.0e-03  2.4e-03  2.9e-01  -4.7e-01   7.8e-03   4.9e-01  1.5e+04  3.5e-02  1.0e+00
L_g[6,5]        -6.3e-02  2.4e-03  2.9e-01  -5.3e-01  -6.8e-02   4.3e-01  1.4e+04  3.4e-02  1.0e+00
L_g[6,6]         7.3e-01  2.1e-03  1.4e-01   4.8e-01   7.5e-01   9.3e-01  4.1e+03  9.9e-03  1.0e+00
L_jg[1,1]        1.0e+00      nan  4.5e-14   1.0e+00   1.0e+00   1.0e+00      nan      nan      nan
L_jg[1,2]        0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_jg[1,3]        0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_jg[1,4]        0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_jg[1,5]        0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_jg[1,6]        0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_jg[2,1]        2.6e-01  3.4e-03  1.2e-01   5.5e-02   2.6e-01   4.4e-01  1.2e+03  2.8e-03  1.0e+00
L_jg[2,2]        9.6e-01  9.0e-04  3.1e-02   9.0e-01   9.7e-01   1.0e+00  1.2e+03  2.9e-03  1.0e+00
L_jg[2,3]        0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_jg[2,4]        0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_jg[2,5]        0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_jg[2,6]        0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_jg[3,1]        5.4e-02  2.2e-03  8.0e-02  -8.1e-02   5.4e-02   1.9e-01  1.3e+03  3.2e-03  1.0e+00
L_jg[3,2]       -1.3e-01  3.7e-03  1.1e-01  -3.1e-01  -1.3e-01   5.7e-02  9.1e+02  2.2e-03  1.0e+00
L_jg[3,3]        9.8e-01  4.6e-04  1.7e-02   9.5e-01   9.8e-01   1.0e+00  1.4e+03  3.3e-03  1.0e+00
L_jg[3,4]        0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_jg[3,5]        0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_jg[3,6]        0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_jg[4,1]        3.8e-01  3.0e-03  9.0e-02   2.3e-01   3.8e-01   5.3e-01  8.9e+02  2.1e-03  1.0e+00
L_jg[4,2]        8.8e-02  5.0e-03  1.2e-01  -1.2e-01   9.1e-02   2.8e-01  6.0e+02  1.4e-03  1.0e+00
L_jg[4,3]        5.4e-02  2.3e-03  8.9e-02  -9.0e-02   5.4e-02   2.0e-01  1.5e+03  3.7e-03  1.0e+00
L_jg[4,4]        9.0e-01  1.8e-03  4.8e-02   8.1e-01   9.1e-01   9.6e-01  7.0e+02  1.7e-03  1.0e+00
L_jg[4,5]        0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_jg[4,6]        0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_jg[5,1]        6.2e-02  3.2e-03  2.6e-01  -3.8e-01   6.5e-02   4.9e-01  6.7e+03  1.6e-02  1.0e+00
L_jg[5,2]       -6.8e-02  4.0e-03  2.9e-01  -5.3e-01  -7.1e-02   4.2e-01  5.0e+03  1.2e-02  1.0e+00
L_jg[5,3]        1.4e-02  3.3e-03  2.7e-01  -4.3e-01   1.3e-02   4.6e-01  6.8e+03  1.6e-02  1.0e+00
L_jg[5,4]        9.9e-02  3.3e-03  2.7e-01  -3.7e-01   1.1e-01   5.3e-01  6.9e+03  1.7e-02  1.0e+00
L_jg[5,5]        8.2e-01  2.2e-03  1.2e-01   5.9e-01   8.4e-01   9.7e-01  2.9e+03  6.9e-03  1.0e+00
L_jg[5,6]        0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_jg[6,1]       -2.9e-02  2.2e-03  3.0e-01  -5.2e-01  -3.1e-02   4.7e-01  1.9e+04  4.6e-02  1.0e+00
L_jg[6,2]        7.8e-03  2.1e-03  3.0e-01  -4.9e-01   7.3e-03   5.0e-01  2.1e+04  5.0e-02  1.0e+00
L_jg[6,3]        2.2e-02  2.4e-03  3.1e-01  -4.9e-01   2.4e-02   5.3e-01  1.8e+04  4.2e-02  1.0e+00
L_jg[6,4]       -1.6e-02  2.2e-03  3.0e-01  -5.1e-01  -1.6e-02   4.8e-01  1.9e+04  4.6e-02  1.0e+00
L_jg[6,5]       -1.3e-03  2.2e-03  3.0e-01  -5.0e-01  -2.2e-03   5.0e-01  1.9e+04  4.7e-02  1.0e+00
L_jg[6,6]        7.2e-01  2.3e-03  1.4e-01   4.6e-01   7.4e-01   9.2e-01  3.8e+03  9.2e-03  1.0e+00
z_j[1,1]         2.6e-01  1.5e-02  9.2e-01  -1.3e+00   2.7e-01   1.8e+00  3.8e+03  9.2e-03  1.0e+00
z_j[1,2]        -1.1e+00  9.4e-03  7.9e-01  -2.3e+00  -1.1e+00   2.5e-01  7.1e+03  1.7e-02  1.0e+00
z_j[1,3]        -5.1e-01  7.6e-03  4.8e-01  -1.3e+00  -5.1e-01   3.1e-01  3.9e+03  9.5e-03  1.0e+00
z_j[1,4]         9.2e-02  7.6e-03  8.5e-01  -1.3e+00   9.9e-02   1.5e+00  1.3e+04  3.0e-02  1.0e+00
z_j[1,5]         2.5e-01  7.4e-03  9.1e-01  -1.2e+00   2.5e-01   1.8e+00  1.5e+04  3.6e-02  1.0e+00
z_j[1,6]        -3.4e-03  6.8e-03  1.0e+00  -1.7e+00  -1.5e-02   1.6e+00  2.2e+04  5.3e-02  1.0e+00
z_j[2,1]        -6.8e-01  1.1e-02  8.4e-01  -2.1e+00  -6.6e-01   6.6e-01  5.3e+03  1.3e-02  1.0e+00
z_j[2,2]         8.2e-01  9.4e-03  5.8e-01  -9.7e-02   8.2e-01   1.8e+00  3.8e+03  9.1e-03  1.0e+00
z_j[2,3]        -1.5e+00  1.3e-02  8.0e-01  -2.8e+00  -1.4e+00  -1.4e-01  3.6e+03  8.7e-03  1.0e+00
z_j[2,4]         5.9e-02  9.0e-03  9.2e-01  -1.5e+00   5.9e-02   1.5e+00  1.0e+04  2.5e-02  1.0e+00
